ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
NEE,NextEra Energy,Utilities,Multi-Utilities,0.283975,-1.4853,19.7823,46.5948,43.6210,312.7864
VZ,Verizon,Communication Services,Integrated Telecommunication Services,0.283235,-1.1224,20.6070,16.0850,10.7203,59.1560
ADI,Analog Devices,Information Technology,Semiconductors,0.276355,-0.1685,46.8522,102.9696,184.8755,762.1928
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",0.265007,5.8012,429.0505,3550.7556,,
T,AT&T,Communication Services,Integrated Telecommunication Services,0.258568,-0.0766,7.4169,-1.3433,47.5082,78.8065
DIS,Walt Disney Company,Communication Services,Movies & Entertainment,0.255889,-1.7171,-10.9519,10.7475,-43.7201,6.0211
QCOM,Qualcomm,Information Technology,Semiconductors,0.253037,-4.8754,-0.9289,23.2568,40.0507,340.7218
AMGN,Amgen,Health Care,Biotechnology,0.249194,-1.8101,-0.3715,18.7718,53.1688,182.7486
BA,Boeing,Industrials,Aerospace & Defense,0.248730,-2.6739,1.9252,19.3249,-5.2776,86.7939
APH,Amphenol,Information Technology,Electronic Components,0.247212,-0.8925,4.5647,76.0828,346.9359,1018.7068
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0.245109,-1.4087,-20.0868,9.6216,0.7796,229.2985
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,0.244839,-1.3964,0.9551,21.1410,134.9312,361.9568
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",0.236113,1.5971,168.6475,703.7592,875.4921,5633.1485
GILD,Gilead Sciences,Health Care,Biotechnology,0.234820,0.7900,8.7205,31.3832,143.5500,120.6775
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0.233687,-0.7308,33.0436,42.6875,217.0207,757.1211
BLK,BlackRock,Financials,Asset Management & Custody Banks,0.233091,-0.8882,-1.1428,15.5764,41.7811,282.7253
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,0.228542,-0.0655,-8.1284,11.4253,39.3369,276.9410
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0.228418,-1.1862,-20.1303,-14.5574,59.8429,561.8142
APP,AppLovin,Information Technology,Application Software,0.227732,3.2609,-29.5064,54.4314,711.2724,
UNP,Union Pacific Corporation,Industrials,Rail Transportation,0.222978,-1.0927,14.4676,23.5158,30.6251,284.1397
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,0.222746,0.1958,24.5960,21.6539,62.7267,727.4520
WELL,Welltower,Real Estate,Health Care REITs,0.218547,0.1060,17.4023,46.4617,229.4472,323.2541
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.217401,-2.1462,-29.3356,-32.7449,-18.1878,177.0901
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0.216972,1.3962,34.4750,41.3285,184.0827,291.0840
UBER,Uber,Industrials,Passenger Ground Transportation,0.216942,-1.5841,-9.5215,-12.2805,39.5169,
CRM,Salesforce,Information Technology,Application Software,0.216338,0.9031,-29.8087,-32.0691,-13.3423,154.3630
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0.215639,2.5120,156.9058,894.1138,773.6154,1602.0869
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0.214507,-2.5801,-19.2159,-8.0267,63.7579,617.0941
PANW,Palo Alto Networks,Information Technology,Systems Software,0.213409,1.9218,0.1954,-1.6729,220.4167,679.4467
PFE,Pfizer,Health Care,Pharmaceuticals,0.213303,-0.1139,7.3918,16.5662,-15.4953,28.5851
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0.196196,0.6994,69.3864,127.1467,375.4533,
GLW,Corning Inc.,Information Technology,Electronic Components,0.195924,1.0742,83.0271,254.8320,306.2521,1030.2193
HON,Honeywell,Industrials,Industrial Conglomerates,0.189355,-1.3694,7.9658,6.0769,9.2946,154.0659
PLD,Prologis,Real Estate,Industrial REITs,0.184434,-1.8740,9.5694,36.2116,38.3331,302.1565
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.182934,-2.3876,-22.5268,-19.8273,76.9592,236.5280
VRT,Vertiv,Industrials,Electrical Components & Equipment,0.181258,0.8102,104.3385,248.8202,1371.1646,
CB,Chubb Limited,Financials,Property & Casualty Insurance,0.179793,-0.3372,4.4726,13.8759,101.7034,229.3982
SPGI,S&P Global,Financials,Financial Exchanges & Data,0.179258,-0.3075,-18.5332,-15.4962,11.4946,347.0209
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,0.178647,-4.1186,-6.3678,0.4096,22.8037,255.2671
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,0.175629,-0.6337,-23.8114,-11.9622,-21.5290,341.7772
MO,Altria,Consumer Staples,Tobacco,0.174992,-1.5292,29.4486,31.8142,126.3724,128.0843
COF,Capital One,Financials,Consumer Finance,0.171731,-1.0369,-21.3374,2.4890,36.7207,225.7176
SBUX,Starbucks,Consumer Discretionary,Restaurants,0.170573,-0.8782,25.4565,27.3661,3.1785,129.0655
LMT,Lockheed Martin,Industrials,Aerospace & Defense,0.170333,1.0492,7.6934,12.5859,53.0516,186.1173
CRWD,CrowdStrike,Information Technology,Systems Software,0.169677,2.9848,0.1024,6.5051,137.2415,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0.167037,-1.4428,8.7444,19.1362,9.6937,14.6246
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,0.166012,-0.0351,-6.9012,-24.9769,116.0672,700.6956
CEG,Constellation Energy,Utilities,Electric Utilities,0.165840,4.3014,-8.9987,30.5012,,
NEM,Newmont,Materials,Gold,0.164889,-0.2670,8.7123,112.9597,96.6267,327.1959
PWR,Quanta Services,Industrials,Construction & Engineering,0.162032,2.0385,79.5210,136.0558,682.1222,3225.7731
INTU,Intuit,Information Technology,Application Software,0.161477,1.9923,-38.2568,-35.0460,5.8179,340.2341
SYK,Stryker Corporation,Health Care,Health Care Equipment,0.158836,-1.3063,-17.0151,-22.3505,19.8439,199.3635
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.158051,0.1613,-32.2969,-40.2103,-33.5084,85.5586
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,0.156158,-1.6413,-1.0914,41.4776,195.2689,812.6010
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,0.155890,1.3988,-5.1857,-14.2273,100.0698,433.1143
SO,Southern Company,Utilities,Electric Utilities,0.154284,-0.7445,10.9449,8.8855,74.1440,183.4650
TT,Trane Technologies,Industrials,Building Products,0.153380,0.0041,25.3015,22.5893,196.2927,1032.4633
EQIX,Equinix,Real Estate,Data Center REITs,0.152316,-0.1687,42.1509,26.5420,68.1642,292.5154
CME,CME Group,Financials,Financial Exchanges & Data,0.149977,0.2590,8.8434,7.4708,75.0649,362.9361
CVS,CVS Health,Health Care,Health Care Services,0.149856,-0.0974,5.1039,26.0147,19.3190,7.2836
ADBE,Adobe Inc.,Information Technology,Application Software,0.146358,1.2963,-27.4379,-33.3211,-48.2454,173.2516
MDT,Medtronic,Health Care,Health Care Equipment,0.143331,-2.1250,-17.8229,-4.7866,-29.0136,28.4611
DUK,Duke Energy,Utilities,Electric Utilities,0.141415,-0.8943,9.6626,8.5400,53.5547,139.7752
MCK,McKesson Corporation,Health Care,Health Care Distributors,0.141083,-0.7580,-1.4347,14.4877,329.0208,428.7106
CMCSA,Comcast,Communication Services,Cable & Satellite,0.137874,-0.4413,-1.0971,-12.5080,-40.5212,21.9352
CDNS,Cadence Design Systems,Information Technology,Application Software,0.137584,2.5136,11.8146,13.4220,176.6205,1410.4149
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,0.137025,0.0793,16.9824,55.9606,655.2611,
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,0.136442,-0.3376,-18.7965,-11.0787,93.8958,811.9219
SNPS,Synopsys,Information Technology,Application Software,0.135880,1.7341,5.9142,5.3401,109.8536,940.5773
NOW,ServiceNow,Information Technology,Systems Software,0.135235,0.8885,-39.9634,-52.9498,-4.8521,580.1509
HCA,HCA Healthcare,Health Care,Health Care Facilities,0.135115,-1.3646,-8.3632,23.5889,115.9610,476.7375
GD,General Dynamics,Industrials,Aerospace & Defense,0.134597,0.9368,4.5963,30.2040,102.3333,206.9405
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,0.131480,-0.1721,26.3556,29.7999,288.6609,566.6393
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.131191,-2.1777,12.1425,40.5070,144.3964,450.8365
WM,Waste Management,Industrials,Environmental & Facilities Services,0.130458,-0.4021,4.1172,-1.1274,74.8416,352.7529
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,0.129458,-0.1080,29.0896,123.0919,189.4520,647.0090
BK,BNY Mellon,Financials,Asset Management & Custody Banks,0.129061,-1.4202,14.5577,63.5722,200.0160,333.6101
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0.126342,1.0921,-3.0962,-8.7474,45.6783,243.5617
JCI,Johnson Controls,Industrials,Building Products,0.126014,-0.4687,20.9563,63.4853,149.3476,417.4011
PNC,PNC Financial Services,Financials,Diversified Banks,0.125399,-1.2097,6.0707,36.1450,35.3345,253.8405
USB,U.S. Bancorp,Financials,Diversified Banks,0.122472,-1.8828,4.5922,38.8561,13.2413,90.9228
FDX,FedEx,Industrials,Air Freight & Logistics,0.121724,-9.1117,24.3684,66.4629,29.6387,153.3553
BSX,Boston Scientific,Health Care,Health Care Equipment,0.120463,0.6195,-40.3776,-45.8210,31.2024,160.6602
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0.120439,-1.3491,-17.1691,-28.6378,21.2354,197.0773
AMT,American Tower,Real Estate,Telecom Tower REITs,0.120152,-0.4020,4.0538,-16.1200,-15.4296,120.1528
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0.118583,-2.2663,45.8000,65.0748,118.3999,-2.5067
CSX,CSX Corporation,Industrials,Rail Transportation,0.118477,-0.8206,23.7718,58.1914,41.2035,492.4409
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.117707,-1.9766,2.3136,10.8574,-17.7857,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,0.116675,-10.4676,-1.5495,6.7349,-44.3390,35.4485
MRSH,Marsh McLennan,Financials,Insurance Brokers,0.115316,1.0170,-8.5865,-24.7279,34.0128,213.4894
