ticker,name,sector,industry,weight,change
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0.1,
TRV,Travelers Companies,Financials,Property & Casualty Insurance,0.1,
HOOD,"Robinhood Markets,",Financials,Investment Banking & Brokerage,0.1,
AFL,Aflac,Financials,Life & Health Insurance,0.1,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0.1,
TFC,Truist Financial,Financials,Diversified Banks,0.1,
ALL,Allstate,Financials,Property & Casualty Insurance,0.1,
NDAQ,"Nasdaq,",Financials,Financial Exchanges & Data,0.1,
MET,MetLife,Financials,Life & Health Insurance,0.1,
Coinbase Global,Coinbase Global,Financials,Other,0.1,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,0.1,
FITB,Fifth Third Bancorp,Financials,Regional Banks,0.1,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.1,
AIG,American International Group,Financials,Multi-line Insurance,0.1,
MSCI,MSCI,Financials,Financial Exchanges & Data,0.1,
HIG,Hartford,Financials,Property & Casualty Insurance,0.1,
STT,State Street,Financials,Asset Management & Custody Banks,0.1,
XYZ,"Block,",Financials,Transaction & Payment Processing Services,0.1,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0.1,
PRU,Prudential Financial,Financials,Life & Health Insurance,0.1,
HBAN,Huntington Bancshares,Financials,Regional Banks,0.1,
MTB,M&T Bank,Financials,Regional Banks,0.1,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0.1,
FISV,"Fiserv,",Financials,Transaction & Payment Processing Services,0.1,
IBKR,Interactive Brokers Group,Financials,Investment Banking & Brokerage,0.1,
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0.1,
WTW,Willis Towers Watson,Financials,Insurance Brokers,0.1,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,0.04,
WRB,W. R. Berkley,Financials,Property & Casualty Insurance,0.04,
CFG,Citizens Financial Group,Financials,Regional Banks,0.04,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,0.04,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0.04,
ARES,Ares Management,Financials,Asset Management & Custody Banks,0.04,
SYF,Synchrony Financial,Financials,Consumer Finance,0.04,
BRO,Brown & Brown,Financials,Insurance Brokers,0.04,
L,Loews,Financials,Multi-line Insurance,0.04,
RF,Regions Financial,Financials,Regional Banks,0.04,
KEY,KeyCorp,Financials,Regional Banks,0.04,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,0.03,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,0.03,
PFG,Principal Financial Group,Financials,Life & Health Insurance,0.03,
BR,Broadridge Financial Solutions,Financials,Data Processing & Outsourced Services,0.03,
GPN,Global Payments,Financials,Transaction & Payment Processing Services,0.03,
EG,Everest Group,Financials,Reinsurance,0.02,
